Review,Date,Rating
"4 stars? neary half an hour to check inNobody anwers the room service, nor returns the messages in the voice mailno soap, no shampoo, no room serviceCreepy elevators, and no concierge or always on the phone...very long queue everywher ",8/5/18,1
"Been staying at the Row since it was the Manhattan hotel. Built in 1928 it has stayed current with remodels and remains my favorite hotel. Location, staff and cleanliness. It’s a bargain. The proximity to Times Square is so convenien ",7/31/18,5
"Would stay at the ROW again, but will make sure to ask questions about what their rates will be per night and will they change if I have to change my original reservation. It served our purpose and was in the right location for our excursions ",7/30/18,4
Central location close to everything. Need to make sure access to elevators is only for people staying in the hotel. Having two people checking for card keys may not be enough. Hallways seemed to need an up-keep,7/19/18,3
The price was different I book on booking. Still pushing to return part of the charges on my credit card. I forgot headphones on my room the checkout day and until 72 hours I didn't have any new. I am going to claim,7/13/18,3
"Overall the room is more of a motel standard rather than hotel level. I will not recommend this hotel for the price they charge! The only plus point is the location, but the room size, cleanliness of room and the bathroom is below standard! ",6/27/18,1
"Very noisy room, door in front of ice machine, couldn’t sleep the 3 nights I stayed at the hotel.On the phone they gave me the wrong price of parking, they had told me it would be 45$ for the whole stay as long as I don’t move the car during the stay, it turned out to be 70$/night!! ",6/26/18,2
"The manager Walked me because I was not staying multiple nights. The desk clerk (who I have checked in with on multiple occasions) was assigning me a room, discussing the breakfast included, etc. Then the manager interrupted. It was not a pleasant situation. ",6/22/18,1
"And not even a coffee maker. Thank goodness for Dunkin Donuts. Besides it being a close, neutral location to various events the rest was a let down. Each time we asked a concierge how to get somewhere, we were misdirected. They were close.. ",6/20/18,2
"Third time staying at this property and we continue to return because of the location. Extremely close to theaters, restaurants and the subway. Wish the rooms were a little bigger, but it's New York and most hotel rooms tend to be on the smaller side ",6/15/18,5
"The room was not clean every day. The reservasion was supposed to be for breakfast but they have been removed for the same price. Booking.com have seen me for the last time, i will do business with expedia next time. ",6/11/18,1
No welcome greeting when checking in & no apologies for a long wait. Hotel was aware our stay was a special occasion which they advised they documented but reception didn’t mention this. After I pointed this out they said they will arrange a complimentary bottle of wine for my wife 40th. Again no apology for not picking up on the special occasion. No bottle of wine was ever delivered to our room even after I enquired about this nothing more was done by them. Bathroom wasn’t clean as you would expect hairs in bath & carpet not hoovered. Also room carpet was the same & crumbs at side of bed. Two lamps either side of the bed where covered in dust not what you expect from a 4* hotel. The bathroom door had a hole in it after something had been taken off the door & was left just as it was with the old colour underneath whatever was on the door completely different colour to the door. Don’t stay here we only slept in the room the minute we where ready to go out we stayed out till time to go to bed. We also witnessed hotel staff arguing with guest rather than trying to help them,6/3/18,1
Rooms were small. Could not sleep in due to the noise coming right outside the door that you could hear everything because the rooms were so small. There was throw up in elevator E. Hotel staff was hard to find any help.,5/24/18,2
"This hotel isn't fancy, but you can't beat its location and price! The hotel is located right next to Times Square. There is a subway stop mere feet from the entrance, and Broadway is right out the door ",5/15/18,4
I left my luggage in the hotel was well received and when I returned to the room the receptionist was in a bad mood. What was before she even finished answering because he doesn't speak English and she had no patience,4/24/18,3
"The Row is not a Hotel but a Hostel a Factory, you pay way too much for a broomcloset room (1036) 1032/1033 you will sleep in the elavator, breakfast you eat of a paper plate, we ran To Millenium hote ",4/24/18,1
"Entrance, guests next to us were a bit loud but that is not related to the hotel experience. Very fast service when asking for towels, extra pillows. Food in the area caters to tourists so just go one block in any direction and there are better choice ",4/18/18,4
"Need room service to be an option. Full breakfast choices like French toast , bacon etc... you need a front waiter in front of Dm restaurant to help if a guest questions as where to sit or wait to be seated ",4/17/18,3
"I was given a different room category feom what I’ve booked, my view was only partial, my room was not cleaned three times in a week, hairdryer was ot working and the hotel lost one of my orders. Also, they charged me $149 to receive orders. ",4/11/18,2
"When checking out we discussed with receptionist Fernanda what had happened last night. She tried to call the time manager or manager but she did not show up, gave an explanation that she was in a meeting, and it would be long, but they were going to pass on our ordeal to management ",4/4/18,1
"The hotel met my needs, but it didn’t exceed them. It was cramped (to be expected in NY). It mostly just seemed old and not very clean. It wasn’t disgusting , but there were a few hairs in the bathroom, soap scum in the sink, and the windows sills had not been dusted in ages ",3/30/18,3
"When I booked online via Amoma. com, I have paid Amoma.com the fee for the one night to stay at the ROW NYC hotel. Yet, when I arrived there that night, ROW NYC asked for my credit card and charged me again,Amoma.com charged me HKD $1,097, and then ROW NYC charged me HKD $1,506.51 + $560.07 (deposit)Now I have double paid the hotel for 1 night, would either Amoma.com or Row NYC please returm money back to me please ",3/20/18,2
"I only stay when we are in tech rehearsals of new Broadway show on the same block. We work 8am until midnight and I don't want to commute to Long Island during this time. I always stay at The Row NYC and get more sleep, rest and relaxation and peace for a few hours. The result is I am fresh and alert in the mornings to face another da ",3/15/18,5
I am 20 years old and this was my first experience of renting a hotel for my girlfriend and I. I could not have asked for more. For the price this hotel is just what I was looking for. Time square is right around the corner and plenty of great places to grab food nearby,3/12/18,4
"I had to stay here because of the nor'easter and it was filthy. I had hair on my pillow case, towels and bathroom floor. When I tried called guest services to ask for help the phone kept ringing for almost 10 minutes until I gave up. I thought I checked into a room that hadn't been cleaned. ",3/11/18,1
"I booked on what I thought was there website but must have been booking.com. I booked a standard room with a queen bed. On check in the desk clerk said, Oh, I'm not going to give you that room, I'm giving you better. Better turned out to be a room with a double bed. We are not double bed size folks. It was late when I check in so I asked on check out. They said oh well, that's what booking.com changed it to. Buyer beware. ",3/6/18,4
"I've been going to this hotel for a long time, always my first choice in NYC. Close to everything, but especially Broadway Theaters. And if you want to go outside the midtown sector, you're close to a lot of subway lines at 42 nd Street, Times Square MTA station. ",1/27/18,5
Please stay away from room 832 at all cost. The room was behind the elevators and it felt like you sleeping next to the Subway. Literally. Please have them switch immediately if you’re assigned to that roo,1/25/18,2
"I was freezing. A radiator was brought and I was told not to adjust it. I went back to sleep and woke boiling! Another day I had no hot water in shower or sink. Some of the receptionists chew gum. The breakfast opened late and the staff were a bit indignant when asked why ""we're still getting ready"" ",1/20/18,3
The online pre-checking was not working and the 1-800 to pre-check would drop the call (5 times). The front desk was a disaster ad they did not seem to care. Rooms are very smallThe online pre-checking was not working and the 1-800 to pre-check would drop the call (5 times,1/3/18,2
"I found the hotel very noisy and overcrowded. Staff was always very busy and not ready to help. They charge $30 facilities fee for ""internet use"" (?). Corridors were not clean, rooms small and not very comfortable. ",1/1/18,1
"The 4* starts should be review and it doesn’t deserve more than 2*. The staff service is nil, they deal with complaints every day and when you go for a problem they don’t solve because they have a line of unsatisfied customers ",8/25/19,1
The ROW was a great place to stay. Walking distance to main subway terminal and in the heart of everything you could want. The staff were friendly and helpful. For being a solo traveler I felt safe and was a fantastic experience.,8/25/19,5
"My husband and I have stayed at Row NYC twice, the second time being part of our honeymoon in the USA. Guy on the reception was extremely friendly, and stated that the rooms are pretty much the same, but upgraded us to a higher floor - for a better view.The rooms are quite basic, however, when in NYC you don't need much. The beds were clean and comfy, the bathroom a good size and clean. And the black out blinds were ideal. Lift system is great, punching in your floor number, to avoid having to stop on every floor :)Free Wifi available - which was great for facetiming family back home :)The lobby to the hotel is lovely, with a shop and computers to use. Row NYC is in a perfect location, with only about a 5 minute walk to Times Sq and multiple eateries within close proximity. During our stay, we broke our suitcase and had to buy another one, my husband spoke to the hotel porter to see where we could dispose of this, and he said that if we gave it to him, he would happily do this for us. We've stayed here twice before and will more than likely stay here again ",8/25/19,4
Enjoy the city scape view. Beds are clean and crisp. Bathroom was large and well stocked with towels and toiletries. Blow dryer and cold air! Centralized area lots of places to visit and see. Everything close by,8/24/19,4
Great location. Great value. Really enjoyed our stay. Would recommend to anyone traveling to New York and wants to stay close to Times Square. Check in was easy and everyone was friendly. Room was small but clean and comfortable,8/24/19,5
"The only positive note about this hotel is the location, very close to Time Square and the view of the exterior rooms. For the rest it is a structure that needs a renovation and a greater care and cleaning of the rooms and bathrooms. Air conditioning in public areas is excessively cold ",8/24/19,3
"We arrived and found a room in badly kept state and with dirty sheets. Hardly what we wanted to find at 9:30pm. We immediately reported this to staff and half an hour later, nothing had been done. We requested that this be resolved while we left the hotel for dinner. Upon our return, at around 11pm, we found that a new set of bedding had been left folded in our room (but had not actually been put on the bed). When we began to put on the sheets ourselves we discovered that this second set of bedding was also stained. Not only that, but the mattress itself was stained and had not been cleaned, as it was covered with a previous guest's hair. When we called the front desk and housekeeping to request a room change (because reasonably, we did not want to sleep on a dirty mattress), we were told that at that time, they could send up new sheets (even though they had already done so), but could not actually have someone put them on the bed, could not have someone clean the mattress and could not switch our room. Twenty minutes later, nothing had been done. When we contacted the front desk again, one helpful worker let us know that she could, in fact, switch our room. However, when she went to do so, the hotel's system was no longer working. Around midnight-12:30am, we were finally given a new room. Though the room was upgraded and clean, it was still in poor state. Multiple furniture pieces were broken (most notably, the tv stand), and there was an intense smell of marihuana in the corridor. We did not report this given that at this point, we just wanted to sleep. Given that we were paying over a hundred dollars a night plus a facilities fee for the room, the least we expected was a clean and well kept room. Otherwise, the facilities fee can hardly be justified. Though the lady who finally helped us at the front desk was very kind (unfortunately, I cannot remember her name) the remainder of the staff seemed unfazed by the issue, and she was the only person to apologize ",8/23/19,1
"Don't expect alot. When we arrived they told me I was lucky to have a room as they overbooked by four rooms and others would be turned away later that day. What kind of service is that. When we tried to call in while driving to the hotel, to confirm our reservation we were sent on a phone goose chase. This went on for FIVE HOURS!! We were told by the 1-800 to call the front desk but no one would answer. We made 20+ calls to the hotel. When we arrived the front desk told us they don't answer the phone ever as they are to busy to answer calls. It was crazy and I was so very frustrated. We booked a couple's vacation with two rooms. The rooms were very small,both dirty, our shower was broken, the washroom was dirty and food was found behind the desk. We booked the room with the understanding we were getting a queen bed but we both got rooms with two double beds. Pretty romantic!!! While we were there we got the generic email asking how our stay was, I clicked on the response link to the manager and sent him an email with my concerns. They didn't even reply. You are paving good money for the location, not the hotel. If you expect average you wont be to let down. Also the elevators are a pain to use. I personaly would book another place next time, for sure. The food was ok and the staff were only ok as well. ",8/23/19,2
"The room is small(it's New York), and the window is locked. View is good, but the air quality inside the room is poor. Service is good. Angela Figueroa, one of the waiters, did her job especially good ",8/23/19,4
"Tiny room with very bad ventilation, most rooms without airvents in bathroom, stuffed to the max! Really bad attitude of the staff especially those at reception/concierge. The only people were friendly, one housekeeper on 22nd floor and the door man entrance to the streets. Given a choice I wouldn't choose this hotel at all! They say that's how people in NYC behave, I say why can't you, in customer service line, be different, be friendly! ",8/23/19,1
"Everything was amazing, the best place in ny. Mr. juonir from the front desk was amazing. He is more than just employed. He try to help us whatever we need more than we expected and we very appreciate that. The room was clean. ",8/22/19,5
"The experience was great, the only issues I had was that the lobby smelled a bit like sewage and the wi-fi was a bit spotty. The rooms were incredibly clean, the staff were very kind and quick to get their job done, there was almost nothing wrong, again the only issues I had were the smell in the lobby and the quality of the wireless internet ",8/22/19,4
"The hotel is located in a central location in Times Square. However, there were a few things I was disappointed about. First of all, the service needs a lot of improvement. The front desk told us at check in that they will email us once the room is ready but we didnt get any email. Second, the staff at the luggage drop off area were plain rude and entitled. First of all, they demanded for tips as we requested to leave our luggage since we couldn’t checked in yet. They weren’t nice to us when we approached them as well and to demand for tips with poor service? There’s no way. Also, I requested for city view weeks in advance but we were only given a wall view of the next building. it was also highly disappointing that the sliding door of the bathroom was difficult to open without someone opening it for u. My friend almost got stuck in the bathroom as she couldn’t open the door. I will never stay at this hotel again ",8/22/19,1
"The bathroom door didn’t work, the shades were dirty, the windows needed washing and the whole place needs to be updated. Paint was thick, tub and toilet looked like 70’s hospital room. Not worth the money spent ",8/21/19,2
Horrible service and did not cater to the public! When an customer complains about something you need to understand what they are saying and compensate them for it instead of pushing it off on the next person in the hotel! Don’t be rude to the customers and treat them with respect!,8/21/19,2
"Hi There! We just checked in today @ 4pm. And we arrived here in our room with those kind of sheets. Is that a 4star standard? I went to the desk and report what happened. They told me, they’ll be here after 10mins. But then, we waited for half an hour, no one appeared. Then, I called the desk and remind about our room, they transferred my call to housekeeping department. Housekeeping department told me, we need to get out of the room because housekeeper can’t do the service when people are inside the room and they’ll be here in 15 minutes. And we did. We even had our early dinner. We came back and still, no one came to change these sheets! I even put a note!!!!! Seriously???? We came back after 1hr and a half!!! Again, is this your 4 star standard ROW NYC? Plus, the elevator stinks. •UNHELPFUL CONCIERGE •TERRIBLE SMALL ROO ",8/21/19,1
"The location is nothing short of perfect. Check in and out were quick, rooms very clean - some with great views, efficient elevator system. some with good size and great views. Other rooms have poorly positioned toilets in relation to the front and side walls. It is impossible to sit with your legs extended, even for someone under 180cm. Be very careful if you receive a room key ending 11 ",8/21/19,4
"Row Hotel is well located if you have been in the city before, you know where you are and where to go. If it is the first time you are in nyc I would not recommend it at all, since the hotel is located una street where everything looks like a very populated and somewhat dirty neighborhood. The hotel has an open kitchen and bar. So they make parties where they let everyone in. When you go to your hotel you are somewhat looking for privacy and that is exactly what you don’t get. There are like a hundred people coming in and out and there is no one to see if they are guests or not. I even got asked by a stranger if he borrow my phone and laptop. ",8/21/19,2
"very disappointed, quality of bed, size of bed, room not clean, dust everywhere, fingerprint, airco noisy, very approximative clean of the whole room, need to be refreshed, personal ok but just minimum, need a card to enter the reception toilets? ",8/21/19,1
"I’ve stayed here a few times beginning about 5 years ago for the first visit. The first time was pretty good. Subsequent times it started going down hill. It is now over crowded,, run-down, loud, understaffed, dirty and run down. After a one week stay at Paper Factory in Long Island City, we trekked to JFK. My flight got canceled and rebooked and so we had to book a hotel. Rather then journey back to where we had been staying, we chose to spend the night at the ROW. Upon arrival I waited ;40 min to check in. No one could provide me with water. They had dented their bar are out for a private event and it was a a rap dj with a bad sound system that was so loud you could here it on the busy NY street outside. It appeared to be a fire hazard bc there were about 300 people crammed into this space gyrating, drinking and making a ton of noise. This is the bar area and lounge open to the lobbbh where hotel guests can usually grab a drink and relax. Nope! I could hardly hear the reservations agents as I checked in.The staff (all two of them) looked annoyed, frazzled and tired and were unfriendly. Upon arriving in my room, the window was wide open and it was 90 degrees. I tired to turn a/c on but yep it was broken. I had to go back down and stand in line again to get a maintenance person sent up. ’this delayed us stepping around the block for a quick bite. The room was small and dated. The tub had black mold and no shower curtain so the water hit the toilet and the floor in the tiny bathroom. It felt more like a cruise ship. The bed was uncomfortable and thankfully we had a ride to leave to LGGA the next morning early but in hindsight I would've c chosen another hotel bc the check in was a big pain. It was not wheat we had hoped for after a very long day filled with mass transit and airports . I would like to get a refund but when I called the front desk it would ring with no answer. If anyone has a way of contacting a manager please let me know. It was a terrible experience e ",8/20/19,1
"I stayed at the Row on 7/31/2019 and my expectations were pretty low given the proximity to the tourist epicenter Times Square. Despite being a high volume and very busy tourist hotel, I was beyond astounded by the service I received. After a tiring road trip from Boston to NYC, all I wanted was a ""quite"" room and a good night's rest. Douglas, the hotel assistant who checked me in provided me with the most amazing room I've ever stayed at! I felt like I was on vacation vs a business trip and I go the most incredible night's sleep. It was a sanctuary. Douglas was extremely courteous, empathetic and provided me a top room. The next day, I needed to print out a presentation for a meeting and once again, the staff went the extra mile to print out my entire presentation. I was incredibly satisfied to the point where I booked another room on 8/26/2019 - I look forward to staying at the Row again. Thanks Douglas and Team Row! ",8/20/19,5
"We stayed here because my boyfriend was attending a conference nearby. The room was small but good enough for just the two of us. We had to request new linen because the sheets had a stain on them. other than that this was a great stay. great location right in the heart of times square, next to everything. a great value location wise ",8/20/19,4
This was the most disgusting hotel I have ever stayed at. I wasn’t expecting 5 star service but I was expecting a CLEAN room and hotel. Our room was so dirty. There were pistachio shells and a toenail on the bed and other gross things I don’t even want to mention. The bathroom especially the shower was gross with things rusted. I had to wear flip flops in it. The whole hotel needs major updating. Worse paint job ever. No wonder why the lobby is so dark as it covers it all up. We were all grossed out by this hotel. We didn’t complain because we were only there 12 hours and not worth the change in rooms. Don’t stay here. Be warned,8/20/19,1
"Hair left in shower, no toilet paper, and blood stains on our bedspread. We informed front desk - 5 hours later when we came back from our evening out, nothing had been done to correct the issues. UNACCEPTABLE!. When the finally moved us to another room, it was a queen room and not a king. We have stayed at The Row previously - it is not what it used to be. They have lost all their standards. Their housekeeping manager should be ashamed and embarrassed. ",8/19/19,1
"We want to tell the tourist to be carefull with the maids of that hotel. We talked with the Security Man of the hotel and he told us, that he was going to see the cameras of that floor, but he never solved us nothing, we are very angry with the personal of that hotel, because we lost our money and my husband watch and they did nothing for us ",8/19/19,3
"Good: --Staff was very nice and helpful. --Comfortable beds. --Central location. --Good food court in the hotel.Not good:--When you check in they'll tell you that there's a ""mandatory"" $40 per night fee for the gym and internet and we didn't use either one. --Rooms are VERY small. --One evening a few of us were quietly relaxing in some comfortable chairs overlooking the bar and they made us move because ""it was time to close off that area"" ",8/19/19,3
1-room too small2- no water no mini bar in the room3-not clean at all4-air conditioning have sound it won’t allow you to sleep5-the front desk should be clear concerning the 100$ incident that they took,8/19/19,2
"The location was great. Both Musicals we saw were just around the corner and you are within walking distance to the Subway. I liked that they checked your room key every night before you could get on the elevator. I always felt very safe. The room was so small you could not leave your suitcase open. It was okay for a girls weekend but would not have been a place for a romantic trip. The A/C did not work very well. Bed and pillows were okay. Bathroom was very small and no place to lay your stuff on. This was our second time to stay at The Row so we knew what we were getting. Again, it was okay for a girls weekend. ",8/19/19,4
"I have been in this hotel 3 times, once in winter and twice this month! So surprised about all those negative reviews ! I had a quick check in and a quick check out! The hotel is on the Musical District, close to Time Square, only 2 mmmm walking to 5th Avenue shopping and to The Ned and Hudson Yards shopping centre . Short distance to Central Park and close to 2 subway lines? What else do you want? A really competitive price, friendly staff and security at the lift area! First check I was on the 10th floor, queen room. Second check in even better 17th floor! If you want a room get 1700, I will definitely come back with my girlfriends . Thank you for the wonderful time and crazy NYC ",8/19/19,4
"Great location, easy walk to shows. This not a 5 star but very comfortable. We only used the room to shower, sleep and had breakfast. it’s not a resort. Good value for the money! We would stay here again ",8/19/19,4
We was waiting nearly 4 hours to check in when all we wanted to do was freshen up after our long flight we couldn’t even go to the toilets as you needed a key card!! I spoke to a few people on reception who didn’t really care! The bouncers on a night to the lifts were so rude too and you had to wait ages for a lift which felt like final destination episode! The hotel was a great location that’s why we picked in the first place and the room was cleaned nearly every day which was good! If you didn’t have to speak to anyone in the hotel it would have been great haha!,8/19/19,3
"The only positive thing I can say about the Row Hotel is the Position, very close to everything. On arrival we were greeted with rude grumpy staff, no friendly greeting like Welcome to New York City. This was our first trip to NY and we travel all over the world and have never come across such a bad reception. The rooms are so small, beds were comfortable I suppose that’s a plus, but bathroom was even smaller and weren’t cleaned. We were there for a week and had to ask them a couple of times if it was possible to clean our room properly, like vacuum and clean the bathroom, which it never got done. The Security at the lifts were unfriendly and outright rude as you tried to get into the lift. We never recommend this hotel to anyone and gave us a bad first impression on NY ",8/19/19,1
Hotel is located Great near the port authority station. Small room not arrange good with either mirror and no place for suitcase to have open. Gym was great to use daily. Check in process was not that professional,8/19/19,4
Nice Hotel for a short stay. Interesting idea for the restaurant (discovering different ypes of food) too bad the tables of said restaurant were not clean... Music too loud during breakfast A litlle bit disappointed by the choice of decoration (quite dark) Otherwise very well placed in the cit,8/18/19,3
Hotel location is just so convenient to everything around time square. Literally next to the majestic theatre and very close to frozen and lion king shows. Rooms are just on the small side but seem to be the case anywhere in the city. Subway system is so close that riding the subway to and from LGA airport was easy unless you haul big luggages as I saw some tourist struggling to get them thru the turnstiles.,8/18/19,4
Good place to go if you want to be by Times Square. Just one block away from most theaters. Many show available and this is a nice location. Not as expensive as those place on Broadway and Times Square,8/18/19,4
I had many issues in the room. the locks battery!! died I was out of the for over 40 minutes. than the air conditioner wasnt working 3 times I called just the next day somwone took care of it. and a morning no hot water. no one said I am sorry. at the end the reduced the invoice but to say I am sorry ans try to do it better would be apriciated. money is not everythin,8/18/19,3
We stayed at this hotel for two nights this week. The hotel is in a great location. You are close to the subway and all the action in Times Square which is a huge perk. The hotel does have an unpleasant smell in the lobby area as some other reviewers have mentioned. The halls are dark. The elevators can be very slow at times. We waited over 20 minutes one morning to go down and ended up taking the stairs 16 floors down. The rooms are a decent size but very basic and a little outdated. The bed was not comfortable at all as the springs could be felt through the sheets and I’m not a picky mattress person. The second morning we were there we woke up to no hot water but the issue was resolved pretty quickly and we were issued a resort fee credit for the inconvenience. All in all it isn’t a bad place to crash after a long day of sightseeing but you may find other options comfortable,8/17/19,3
It was nicer than I expected and very convenient to the show we were seeing. Made it easy to pop in to drop something off before dinner or change your shoes before trekking uptown for dessert. Super fast elevators got us up to the 17th floor and back down in a jiffy. Was also a decent value for New York,8/17/19,4
"This hotel is in a great location. 1 minute walk to Times Square. We were on the 3rd floor and was very noisy, all night long. The room was huge. Staff helpful. Clean.No tea or coffee making facilities in room. May have been available but didn’t ask. ",8/17/19,4
"Hotel is around the corner of Broadway and Times Square. Rooms are quite small but ok (travelling alone). Cleanliness is ok. Hotel is very busy with large groups of tourists (which is quite logical wrt the location). Breakfast: poor. You better go for breakfast around the corner. Value for money: ok, if compared to other hotels in the area. No feeling for hospitality at all ",8/17/19,3
"Only One block away from Times Square. We couldn't fit enough local activities in our short trip. Aside from a few minor things, we really enjoyed the stay at Row NYC. The staff was polite and helped us when needed. We loved that the hotel can hold on to your luggage before or after room check-in/out while you get a chance to explore the city ",8/15/19,4
